obs,Site,Latitude,Longitude,tm,ts,tn,cm,cs,cn,MAP,N_addtion,pH,MAT,SOC,TN,TP,CNR,NPR,MBC,MBN,MCNR
72,26,35.95,104.15,0.376693767,0.07,5,0.473170732,0.06,5,<400,<100,8.24,6.7,11.04,1.15,0.77,9.6,1.493506494,306.76,55.78,5.88
73,26,35.95,104.15,0.379132791,0.01,5,0.473170732,0.06,5,<400,<100,8.32,6.7,11,1.18,0.74,9.322033898,1.594594595,261.02,59.93,4.33
74,26,35.95,104.15,0.369918699,0.05,5,0.473170732,0.06,5,<400,<100,8.21,6.7,10.59,1.17,0.75,9.051282051,1.56,275.21,55.84,5.15
75,26,35.95,104.15,0.234688347,0.09,5,0.473170732,0.06,5,<400,100-200,8.02,6.7,9.89,1.04,0.73,9.509615385,1.424657534,218.01,63.34,3.48
76,27,47.43,126.63,0.544148586,0.028,3,0.520634921,0.038,3,400-800,100-200,6.2,2,NA,NA,NA,NA,NA,343.2989691,8.117359413,42.29195131
77,27,47.43,126.63,0.33015873,0.043,3,0.099470899,0.036,3,400-800,100-200,6,2,NA,NA,NA,NA,NA,190.2061856,7.726161369,24.61845883
78,28,33.35,109.93,0.255580866,0.029,3,0.203644647,0.018,3,400-800,100-200,NA,11,7.414584558,0.714285714,0.55203038,13.43147918,1.018159885,12.87553648,7.75862069,1.659513591
79,28,33.35,109.93,0.284168565,0.019,3,0.243280182,0.013,3,400-800,100-200,NA,11,8.677628356,0.798319328,0.599310094,14.47936293,1.099667449,18.88412017,8.836206897,2.137129697
80,28,33.35,109.93,0.296015936,0.017,3,0.262151394,0.035,3,400-800,100-200,NA,11,8.333333333,0.842105263,0.562376238,14.81807511,1.833235524,16.55480984,13.74207188,1.204680778
81,28,33.35,109.93,0.373815848,0.016,3,0.292197875,0.025,3,400-800,100-200,NA,11,8.8647343,0.884210526,0.598019802,14.82347954,1.812858633,50.38560411,23.4741784,2.146426735
82,28,33.35,109.93,0.347164592,0.031,3,0.231327801,0.013,3,400-800,100-200,NA,11,8.526570048,0.774566474,0.510891089,16.68960417,1.404214559,79.64205817,41.01479915,1.941788325
83,28,33.35,109.93,0.328146611,0.021,3,0.224412172,0.021,3,400-800,100-200,NA,11,8.816425121,0.843930636,0.586138614,15.0415361,1.457854406,127.9642058,58.56236786,1.786666667
84,29,52.9,10.45,0.264686684,0.05,4,0.131723238,0.05,4,400-800,100-200,5.6,10.4,8.39,0.56,0.559333333,15,1.001191895,NA,NA,NA
85,29,52.9,10.45,0.167754569,0.04,4,0.131723238,0.05,4,400-800,>200,5.8,10.4,8.67,0.56,0.578,15,0.968858131,NA,NA,NA
86,29,52.9,10.45,0.242950392,0.04,4,0.212793734,0.05,4,400-800,100-200,4.6,10.4,7.91,0.59,0.565,14,1.044247788,NA,NA,NA
87,29,52.9,10.45,0.164817232,0.05,4,0.212793734,0.05,4,400-800,>200,4.4,10.4,8.5,0.72,0.708333333,12,1.016470588,NA,NA,NA
88,29,52.9,10.45,0.351044386,0.07,4,0.280156658,0.05,4,400-800,100-200,5.3,10.4,8.66,0.6,0.577333333,15,1.03926097,NA,NA,NA
89,29,52.9,10.45,0.342036554,0.05,4,0.280156658,0.05,4,400-800,>200,5.2,10.4,8.17,0.52,0.510625,16,1.018359853,NA,NA,NA
90,29,52.9,10.45,0.2716,0.04,4,0.3424,0.09,4,400-800,100-200,5.5,10.4,8.35,0.57,0.556666667,15,1.023952096,NA,NA,NA
91,29,52.9,10.45,0.1144,0.04,4,0.3424,0.09,4,400-800,>200,5.6,10.4,8.42,0.63,0.601428571,14,1.047505938,NA,NA,NA
92,29,52.9,10.45,0.2468,0.08,4,0.2416,0.08,4,400-800,100-200,4.7,10.4,7.68,0.6,0.590769231,13,1.015625,NA,NA,NA
93,29,52.9,10.45,0.2714,0.06,4,0.2416,0.08,4,400-800,>200,4.5,10.4,8.48,0.62,0.605714286,14,1.023584906,NA,NA,NA
94,29,52.9,10.45,0.333,0.04,4,0.3536,0.07,4,400-800,100-200,4.8,10.4,8.31,0.6,0.593571429,14,1.010830325,NA,NA,NA
95,29,52.9,10.45,0.3166,0.07,4,0.3536,0.07,4,400-800,>200,4.6,10.4,8.49,0.55,0.530625,16,1.036513545,NA,NA,NA
96,30,10.71,-85.57,0.31,0.07,4,0.188888889,0.086,4,>800,100-200,5.77,26.5,22.1,1.7,0.34,13,5,160.4,16.9,9.49112426
97,31,18.33,108.68,0.435312024,0.017,3,0.379908676,0.09,3,>800,<100,4.44,24.5,21.53,1.51,0.15,15.56,10.06666667,NA,NA,NA
98,31,18.33,108.68,0.468188737,0.012,3,0.379908676,0.09,3,>800,<100,4.44,24.5,21.53,1.51,0.15,15.56,10.06666667,NA,NA,NA
99,31,18.33,108.68,0.365905632,0.011,3,0.379908676,0.09,3,>800,100-200,4.44,24.5,21.53,1.51,0.15,15.56,10.06666667,NA,NA,NA
100,32,34.91,102.88,0.649890591,0.021,5,0.759299781,0.024,5,400-800,100-200,6.87,2.4,36.88,3.62,0.54,10,6.6,510.8,106.47,4.797595567
101,32,34.91,102.88,0.27027027,0.025,5,0.353603604,0.021,5,400-800,100-200,6.87,2.4,36.88,3.62,0.54,9.7,4.7,462.6,106.47,4.344885883
102,33,37.61,101.2,0.73175853,0.09,4,0.746456693,0.08,4,400-800,100-200,7.11,-1.2,59.9,6.08,0.78,9.8,7.794871795,NA,NA,NA
103,33,37.61,101.2,0.514435696,0.014,4,0.54488189,0.032,4,400-800,100-200,7.11,-1.2,59.9,6.08,0.78,9.8,7.794871795,NA,NA,NA
104,34,39.94,-5.77,0.31627907,0.029,4,0.315614618,0.066,4,400-800,NA,NA,9,NA,NA,NA,NA,NA,154,22,7
105,34,39.94,-5.77,0.227906977,0.089,4,0.315614618,0.066,4,400-800,NA,NA,9,NA,NA,NA,NA,NA,174,29,6
